14.798	15.97	19	19.39	16.673	19.39	14.73	10.817	21.75	13.454	6	7	0	9	17.493	16.912	11.917	16.187	17.636	22.783	17.86	20.664	19.052	18.083	15.166	17.635	19.026	18.71	12.728	14.07	13.038
17.32	18.33	20.59	17.03	18.493	18.055	16.763	13.454	15.653	20	10	11.402	9	0	15	18.028	14.346	24.104	21.68	23.474	20.25	25.515	22.886	22.085	21.19	23.02	21.72	19.723	9	10.817	11.402
22.912	22.16	22.912	19.44	20.737	17.72	22.494	16.4	18.73	18.027	18.028	19.647	17.493	15	0	10	15.62	18.868	15.647	18.055	13.601	20.636	22.514	21.7	19.34	21.33	19.13	12.806	17.493	8	22.517
20.637	19.774	20.615	16.673	18.166	13.038	22.114	13	12.042	15	15.812	18.303	16.912	18.028	10	0	12	16	12.042	15.033	13.601	18.056	20.177	19.26	16.553	18.84	16.31	8	20.15	12.806	21.354
16.79	15.716	16.763	11.576	13.638	12.728	18.575	5	11.662	9	10.296	13.82	11.917	14.346	15.62	12	0	20	17	19.235	18.14	19.053	16.218	15.067	11.402	14.526	16.03	14.422	16.935	17.55	17.663
21.4	20.542	17.176	17.35	18.79	18.358	15.198	15.588	16.912	16	20.025	22.046	16.187	24.104	18.868	16	20	0	7	11.402	14.765	15.166	10.63	7	13.387	16.97	19.697	17.89	19.365	18.412	24.64
22.516	21.7	18.6	18.71	19.85	18.084	16.733	17.72	18.303	17.464	19.875	21.91	17.636	21.68	15.647	12.042	17	7	0	9	13	13.454	8	9.9	16	18.358	20.904	9	18.056	17.03	22.25
24.25	23.49	20.663	20.762	21.795	20.2	19.34	19.874	19.442	19.647	21.818	23.686	22.783	23.474	18.055	15.033	19.235	11.402	9	0	15.81	10	12.042	13.38	18.11	13.965	16.614	12.728	20.173	19.26	22.25
24.716	24	23.41	21.517	22.693	18.84	25.297	18.815	21.773	14.213	20.857	22.804	17.86	20.25	13.601	13.601	18.14	14.765	13	15.81	0	18.71	15.264	16.4	15.843	16.88	19.62	11	12.53	11	24
25.903	25.53	19.545	18.083	20.22	19.053	17.832	18.165	19.313	16.792	20.665	22.627	20.664	25.515	20.636	18.056	19.053	15.166	13.454	10	18.71	0	10	11.662	18.79	12.33	15.875	16.187	22.132	22.93	23.044
23.895	18.655	16.793	15.066	17.576	16.218	14.764	15.165	16.523	13.49	18.084	20.297	19.052	22.886	22.514	20.177	16.218	10.63	8	12.042	15.264	10	0	6	12.689	7.211	12.33	12.042	18.815	19.75	20.76
18.655	17.664	15.685	13.82	16.52	15.067	13.49	13.928	15.395	12.083	17.06	19.39	18.083	22.085	21.7	19.26	15.067	7	9.9	13.38	16.4	11.662	6	0	9.849	4	10.77	19.21	19.747	20.64	19.875
15.843	14.663	12.207	9.696	12.083	11.402	9.22	10.63	15	7	13.93	16.704	15.166	21.19	19.34	16.553	11.402	13.387	16	18.11	15.843	18.79	12.689	9.849	0	9	13.453	18.385	19.287	20.2	17.263
23.62	21.285	15.166	19.365	16.03	19.105	21.84	13.928	14.866	11.402	16.584	18.974	17.635	23.02	21.33	18.84	14.526	16.97	18.358	13.965	16.88	12.33	7.211	4	9	0	10	20.47	21.022	20.148	19.47
21.4	18.79	18.166	16.583	12.53	16.28	19.416	16.763	11	15.165	19.366	21.448	19.026	21.72	19.13	16.31	16.03	19.697	20.904	16.614	19.62	15.875	12.33	10.77	13.453	10	0	18.166	21.586	20.735	21.886
22.133	21.33	20.663	18.493	21.4	18.358	18.028	15.264	14.457	17	17.72	19.975	18.71	19.723	12.806	8	14.422	17.89	9	12.728	11	16.187	12.042	19.21	18.385	20.47	18.166	0	19.925	19	22.804
19.52	20.42	22.47	19.26	20.567	20.174	19.026	16.187	20.78	18.947	13.454	14.526	12.728	9	17.493	20.15	16.935	19.365	18.056	20.173	12.53	22.132	18.815	19.747	19.287	21.022	21.586	19.925	0	6	18.22
20.42	21.283	23.257	20.173	21.424	19.442	22.78	17.263	18.79	17.972	14.73	15.716	14.07	10.817	8	12.806	17.55	18.412	17.03	19.26	11	22.93	19.75	20.64	20.2	20.148	20.735	19	6	0	19.183
7	9.22	12.207	14.353	16.763	14.353	14.353	20.125	19.646	15.81	14.353	11	13.038	11.402	22.517	21.354	17.663	24.64	22.25	22.25	24	23.044	20.76	19.875	17.263	19.47	21.886	22.804	18.22	19.183	0
